year,sector_key,level,total_emp,resident_emp,nonresident_emp,nonresident_share_pct,gdp_million_sgd,gdp_per_worker_thousand_sgd,data_source
2014,real_estate,2,94.2,55.6,38.6,40.98,18962.7,201.3,direct
2014,transport_storage,2,238.3,188.9,49.4,20.73,27092.4,113.69,direct
2014,wholesale_retail,2,497.5,346.3,151.2,30.39,64724.5,130.1,direct
2015,construction,1,500.6,110.6,390.0,77.91,20430.8,40.81,direct
2015,manufacturing,1,515.4,238.6,276.8,53.71,76598.2,148.62,direct
2015,others,1,27.2,23.2,4.0,14.71,,,direct
2015,services,1,2612.8,1775.5,837.3,32.05,278103.0,106.44,direct
2015,accomm_food,2,246.0,139.1,106.9,43.46,8763.1,35.62,direct
2015,admin_support,2,222.8,108.9,113.9,51.12,19666.3,88.27,direct
2015,community_social,2,777.5,,,,44974.4,57.84,direct
2015,info_comms,2,133.0,86.1,46.9,35.26,16227.4,122.01,direct
2015,mfg_electronics,2,86.8,,,,,,direct
2015,mfg_food_bev,2,45.5,,,,,,direct
2015,mfg_metal_machinery,2,107.2,,,,,,direct
2015,mfg_other,2,63.7,,,,,,direct
2015,mfg_paper_rubber,2,34.4,,,,,,direct
2015,mfg_petrochem,2,57.5,,,,,,direct
2015,mfg_transport_equip,2,120.3,,,,,,direct
2015,professional,2,234.2,166.6,67.6,28.86,24218.6,103.41,direct
2015,real_estate,2,88.6,55.4,33.2,37.47,18781.5,211.98,direct
2015,transport_storage,2,241.1,187.6,53.5,22.19,30015.0,124.49,direct
2015,wholesale_retail,2,489.7,364.1,125.6,25.65,65584.5,133.93,direct
2016,construction,1,488.9,101.2,387.7,79.3,19757.7,40.41,direct
2016,manufacturing,1,500.4,227.2,273.2,54.6,76973.5,153.82,direct
2016,others,1,27.0,20.0,7.0,25.93,,,direct
2016,services,1,2656.8,1816.9,839.9,31.61,296425.5,111.57,direct
2016,accomm_food,2,253.4,138.2,115.2,45.46,9253.4,36.52,direct
2016,admin_support,2,232.1,115.9,116.2,50.06,24033.4,103.55,direct
2016,community_social,2,798.9,,,,47897.8,59.95,direct
2016,info_comms,2,135.4,87.0,48.4,35.75,18210.4,134.49,direct
2016,mfg_electronics,2,84.6,,,,,,direct
2016,mfg_food_bev,2,46.7,,,,,,direct
2016,mfg_metal_machinery,2,99.2,,,,,,direct
2016,mfg_other,2,63.3,,,,,,direct
2016,mfg_paper_rubber,2,32.5,,,,,,direct
2016,mfg_petrochem,2,62.8,,,,,,direct
2016,mfg_transport_equip,2,111.3,,,,,,direct
2016,professional,2,234.6,163.0,71.6,30.52,25391.9,108.23,direct
2016,real_estate,2,81.4,53.5,27.9,34.28,17392.1,213.66,direct
2016,transport_storage,2,244.8,188.4,56.4,23.04,28169.9,115.07,direct
2016,wholesale_retail,2,491.1,364.1,127.0,25.86,74132.0,150.95,direct
2017,construction,1,450.3,100.7,349.6,77.64,17932.1,39.82,direct
2017,manufacturing,1,489.3,223.4,265.9,54.34,87981.7,179.81,direct
2017,others,1,26.4,21.7,4.7,17.8,,,direct
2017,services,1,2703.4,1829.4,874.0,32.33,318205.5,117.71,direct
2017,accomm_food,2,257.9,134.4,123.5,47.89,9534.8,36.97,direct
2017,admin_support,2,242.8,114.7,128.1,52.76,25627.7,105.55,direct
2017,community_social,2,815.9,,,,50762.9,62.22,direct
2017,info_comms,2,139.6,91.3,48.3,34.6,18864.8,135.13,direct
2017,mfg_electronics,2,92.1,,,,,,direct
2017,mfg_food_bev,2,49.8,,,,,,direct
2017,mfg_metal_machinery,2,99.9,,,,,,direct
2017,mfg_other,2,62.9,,,,,,direct
2017,mfg_paper_rubber,2,30.9,,,,,,direct
2017,mfg_petrochem,2,59.1,,,,,,direct
2017,mfg_transport_equip,2,94.5,,,,,,direct
